Placement,Swiss,Country,Player,Prize,Team,Class,Tournament
1,4-2,ESP,Jesús Jiménez(Susej),400,"['Ludicolo', 'Salamence', 'Politoed', 'Raikou', 'Mamoswine', 'Scizor']",Equipos y resultados,Equipos y resultados del Clasificatorio 2 del VR Circuit
2,5-1,ESP,ÁlvaroGutiérrez-Alonso(Astano),300(+50),"['Breloom', 'Arcanine', 'Mamoswine', 'Rotom-wash', 'Latios', 'Scizor']",Equipos y resultados,Equipos y resultados del Clasificatorio 2 del VR Circuit
3,5-1,ESP,Guillermo Castilla(KastyTP),200,"['Tyranitar', 'Hitmontop', 'Gastrodon', 'Rotom-heat', 'Latios', 'Scizor']",Equipos y resultados,Equipos y resultados del Clasificatorio 2 del VR Circuit
4,4-2,ESP,Álvaro Carrasco(Dolphin),200(+50),"['Breloom', 'Arcanine', 'Mamoswine', 'Rotom-wash', 'Latios', 'Scizor']",Equipos y resultados,Equipos y resultados del Clasificatorio 2 del VR Circuit
5,5-1,ESP,Jesús Ruiz(☆Jesús),150(+25),"['Breloom', 'Gyarados', 'Mamoswine', 'Tyranitar', 'Cresselia', 'Heatran']",Equipos y resultados,Equipos y resultados del Clasificatorio 2 del VR Circuit
6,4-2,ESP,Isaac García(Thebestbird),150(+25),"['Tangrowth', 'Hitmontop', 'Azumarill', 'Raikou', 'Cresselia', 'Heatran']",Equipos y resultados,Equipos y resultados del Clasificatorio 2 del VR Circuit
7,4-2,MEX,Carlos Mendoza(Gold),–,"['Breloom', 'Arcanine', 'Gastrodon', 'Raikou', 'Cresselia', 'Scizor']",Equipos y resultados,Equipos y resultados del Clasificatorio 2 del VR Circuit
8,4-2,ESP,José Yáñez(Jose),150(+25),"['Tyranitar', 'Hitmontop', 'Gastrodon', 'Rotom-heat', 'Latios', 'Scizor']",Equipos y resultados,Equipos y resultados del Clasificatorio 2 del VR Circuit
9,5-1,ESP,Juan Benítez(Palo),80(+25),"['Roserade', 'Arcanine', 'Azumarill', 'Togekiss', 'Garchomp', 'Weavile']",Equipos y resultados,Equipos y resultados del Clasificatorio 2 del VR Circuit
10,5-1,ESP,José P. Figueroa(Anubis),80,"['Smeargle', 'Arcanine', 'Mamoswine', 'Rotom-wash', 'Latios', 'Linoone']",Equipos y resultados,Equipos y resultados del Clasificatorio 2 del VR Circuit
11,5-1,ESP,Víctor Medina(Torviv),80,"['Tyranitar', 'Hitmontop', 'Gastrodon', 'Rotom-heat', 'Latios', 'Scizor']",Equipos y resultados,Equipos y resultados del Clasificatorio 2 del VR Circuit
12,4-2,ESP,Francesc X. Majós(franxi),80(+25),"['Tangrowth', 'Arcanine', 'Milotic', 'Hariyama', 'Cresselia', 'Tyranitar']",Equipos y resultados,Equipos y resultados del Clasificatorio 2 del VR Circuit
13,4-2,ESP,Hugo Mazarío(Hugo),80(+25),"['Ludicolo', 'Arcanine', 'Pelipper', 'Raikou', 'Garchomp', 'Scizor']",Equipos y resultados,Equipos y resultados del Clasificatorio 2 del VR Circuit
14,4-2,ESP,Ismael Aarab(SIUMAN),80(+25),"['Tyranitar', 'Hitmontop', 'Porygon-z', 'Togekiss', 'Cresselia', 'Heatran']",Equipos y resultados,Equipos y resultados del Clasificatorio 2 del VR Circuit
15,4-2,ESP,José L. García(José Luis),80,"['Ludicolo', 'Salamence', 'Politoed', 'Raikou', 'Mamoswine', 'Scizor']",Equipos y resultados,Equipos y resultados del Clasificatorio 2 del VR Circuit
1,4-1,ESP,Juan Benítez(Palo),400,"['Tangrowth', 'Azumarill', 'Arcanine', 'Tyranitar', 'Latios', 'Kangaskhan']",Equipos y resultados,Equipos y resultados del Clasificatorio 3 del VR Circuit
2,5-0,ITA,Gianluca Tognino(★IceBullet★),–,"['Ludicolo', 'Politoed', 'Hitmontop', 'Raikou', 'Kingdra', 'Scizor']",Equipos y resultados,Equipos y resultados del Clasificatorio 3 del VR Circuit
3,4-1,ESP,Marco Guillén(Chompy),200,"['Ludicolo', 'Pelipper', 'Arcanine', 'Raikou', 'Garchomp', 'Scizor']",Equipos y resultados,Equipos y resultados del Clasificatorio 3 del VR Circuit
4,4-1,ESP,José L. García(José Luis),200,"['Breloom', 'Rotom-wash', 'Arcanine', 'Mamoswine', 'Latios', 'Scizor']",Equipos y resultados,Equipos y resultados del Clasificatorio 3 del VR Circuit
5,4-1,ESP,Álvaro Carrasco(Dolphin),150,"['Ludicolo', 'Pelipper', 'Entei', 'Raikou', 'Dragonite', 'Floatzel']",Equipos y resultados,Equipos y resultados del Clasificatorio 3 del VR Circuit
6,4-1,NDL,Koen van Cann(Koonky),–,"['Tangrowth', 'Gyarados', 'Arcanine', 'Raichu', 'Mamoswine', 'Scizor']",Equipos y resultados,Equipos y resultados del Clasificatorio 3 del VR Circuit
7,3-2,ESP,David Iglesias(Kamelot),150,"['Togekiss', 'Gastrodon-east', 'Arcanine', 'Raikou', 'Latios', 'Scizor']",Equipos y resultados,Equipos y resultados del Clasificatorio 3 del VR Circuit
8,3-2,ESP,Alejandro Filiberto(Solverk),150,"['Ludicolo', 'Pelipper', 'Arcanine', 'Raikou', 'Latios', 'Scizor']",Equipos y resultados,Equipos y resultados del Clasificatorio 3 del VR Circuit
1,6-1,TWN,Tsai Hau-yu(凰華),R2 bye at Nats,"['Kartana', 'Landorus-therian', 'Tapu-fini', 'Indeedee-female', 'Dusclops', 'Glastrier']",Teams and Results,Teams and Results from the 2021 Taipei Regionals
2,6-1,TWN,Li Yu-heng(冰冰OuO),R2 bye at Nats,"['Rillaboom', 'Tyranitar', 'Rotom-wash', 'Zapdos-galar', 'Clefairy', 'Spectrier']",Teams and Results,Teams and Results from the 2021 Taipei Regionals
3,7-0,TWN,Pai Yu-ping(White),R1 bye at Nats,"['Venusaur', 'Torkoal', 'Tapu-fini', 'Raichu', 'Moltres-galar', 'Regirock']",Teams and Results,Teams and Results from the 2021 Taipei Regionals
4,6-1,TWN,Chou Tsung-hsiao(茶悅),R1 bye at Nats,"['Venusaur', 'Incineroar', 'Rotom-wash', 'Togekiss', 'Porygon2', 'Stakataka']",Teams and Results,Teams and Results from the 2021 Taipei Regionals
5,6-1,TWN,Chen Chih-chun,–,"['Rillaboom', 'Incineroar', 'Urshifu', 'Thundurus', 'Dragapult', 'Coalossal']",Teams and Results,Teams and Results from the 2021 Taipei Regionals
6,6-1,TWN,Duh Jenn-chau(我什麼都沒有),–,"['Porygon2', 'Incineroar', 'Tapu-fini', 'Regieleki', 'Moltres-galar', 'Glastrier']",Teams and Results,Teams and Results from the 2021 Taipei Regionals
7,6-1,TWN,Chang Che(Polito),–,"['Rillaboom', 'Incineroar', 'Urshifu', 'Dragapult', 'Moltres-galar', 'Coalossal']",Teams and Results,Teams and Results from the 2021 Taipei Regionals
8,6-1,TWN,Huang Yang-jie(三重流川風),–,"['Rillaboom', 'Incineroar', 'Urshifu', 'Regieleki', 'Clefairy', 'Spectrier']",Teams and Results,Teams and Results from the 2021 Taipei Regionals
9,6-1,TWN,Tsai Chien-chien(芊芊),–,"['Cinderace', 'Incineroar', 'Tapu-fini', 'Regieleki', 'Dusclops', 'Glastrier']",Teams and Results,Teams and Results from the 2021 Taipei Regionals
10,6-1,TWN,Liu Jian-ting(Sayha),–,"['Cinderace', 'Incineroar', 'Tapu-fini', 'Regieleki', 'Dusclops', 'Glastrier']",Teams and Results,Teams and Results from the 2021 Taipei Regionals
11,6-1,TWN,Chang Xuan-hao,–,"['Grimmsnarl', 'Heatran', 'Nihilego', 'Zapdos', 'Urshifu', 'Landorus-therian']",Teams and Results,Teams and Results from the 2021 Taipei Regionals
12,5-2,TWN,Chi Han-hsian,–,"['Kartana', 'Clefairy', 'Tapu-fini', 'Raichu', 'Moltres-galar', 'Regirock']",Teams and Results,Teams and Results from the 2021 Taipei Regionals
13,5-2,TWN,Yeh Chang-yi,–,"['Tsareena', 'Charizard', 'Urshifu', 'Tornadus', 'Duraludon', 'Ninetales']",Teams and Results,Teams and Results from the 2021 Taipei Regionals
14,5-2,TWN,Wang Yi-liang(小Yee),–,"['Kartana', 'Incineroar', 'Tapu-fini', 'Thundurus', 'Porygon2', 'Urshifu']",Teams and Results,Teams and Results from the 2021 Taipei Regionals
15,5-2,TWN,Feng Teng-jan,–,"['Comfey', 'Heatran', 'Gastrodon-east', 'Zapdos', 'Cresselia', 'Greedent']",Teams and Results,Teams and Results from the 2021 Taipei Regionals
16,5-2,TWN,Li Yi-te,–,"['Kartana', 'Chandelure', 'Tapu-fini', 'Raichu', 'Moltres-galar', 'Excadrill']",Teams and Results,Teams and Results from the 2021 Taipei Regionals
1,6-1,USA,Elisa M.(Salami),–,"['Groudon', 'Charizard', 'Indeedee-Female', 'Umbreon', 'Kartana', 'Porygon2']",Teams and Results,Teams and Results from the Women’s Tournament II
2,6-1,AUS,Malcolm Mackellar(Mogar),–,"['Zacian-Crowned', 'Incineroar', 'Lapras', 'Raichu', 'Rillaboom', 'Landorus-Therian']",Teams and Results,Teams and Results from the Women’s Tournament II
3,6-1,SGP,Yoko Taguma(yoko),–,"['Necrozma-Dusk-Mane', 'Incineroar', 'Lapras', 'Togekiss', 'Ferrothorn', 'Tyranitar']",Teams and Results,Teams and Results from the Women’s Tournament II
4,5-2,USA,Lauren Finn(Lauren),–,"['Groudon', 'Incineroar', 'Naganadel', 'Thundurus', 'Whimsicott', 'Charizard']",Teams and Results,Teams and Results from the Women’s Tournament II
5,6-1,USA,Midori Takanashi(Midori),–,"['Zacian-Crowned', 'Incineroar', 'Lapras', 'Thundurus', 'Amoonguss', 'Landorus-Therian']",Teams and Results,Teams and Results from the Women’s Tournament II
